Status,Occupation,ISEI-08,Class,
High,Lawyer,85,1,
,Executive of large firm,70,1,
,Human resource manager,68,1 or 2,
Middle,School teacher,63,2,
,Police officer,53,1 or 7 ,7 V Manual foremen
,Nurse,48,2,
Low,Car mechanic,38,,
,Bur/lorry driver,37,,
,Hairdresser/barber,32,,
,Home or office cleaner,17,,
