ISO,COUNTRY,YEAR,PALMA RATIO 
KHM,Cambodia,2017,1.43
KHM,Cambodia,2020,1.43
KIR,Kiribati,2017,1.382
KIR,Kiribati,2020,1.281
KNA,Saint Kitts and Nevis,2017,2.774
KNA,Saint Kitts and Nevis,2020,3.028
KOR,Korea,,
KOR,Korea,,
KWT,Kuwait,2017,1.93
KWT,Kuwait,2020,1.93
LAO,Laos,2017,1.866
LAO,Laos,2020,1.934
LBN,Lebanon,2017,1.506
LBN,Lebanon,2020,1.506
LBR,Liberia,2017,3.385
LBR,Liberia,2020,3.385
LBY,Libya,2017,1.873
LBY,Libya,2020,1.877
LCA,Saint Lucia,2017,3.485
LCA,Saint Lucia,2020,3.485
LIE,Liechtenstein,2017,1.235
LIE,Liechtenstein,2020,1.23
LKA,Sri Lanka,2017,2.61
LKA,Sri Lanka,2020,2.61
LSO,Lesotho,2017,5.926
LSO,Lesotho,2020,5.614
LTU,Lithuania,2017,1.663
LTU,Lithuania,2020,1.453
LUX,Luxembourg,2017,1.225
LUX,Luxembourg,2020,1.402
LVA,Latvia,2017,1.377
LVA,Latvia,2020,1.396
MAC,Macao,2017,1.294
MAC,Macao,2020,1.297
MAR,Morocco,2017,2.105
MAR,Morocco,2020,2.105
MCO,Monaco,2017,1.235
MCO,Monaco,2020,1.23
MDA,Moldova,2017,1.099
MDA,Moldova,2020,1.107
MDG,Madagascar,2017,4.657
MDG,Madagascar,2020,4.657
MDV,Maldives,2017,2.474
MDV,Maldives,2020,2.32
MEX,Mexico,2017,2.822
MEX,Mexico,2020,2.451
MHL,Marshall Islands,2017,1.626
MHL,Marshall Islands,2020,1.626
MKD,North Macedonia,2017,1.341
MKD,North Macedonia,2020,1.253
MLI,Mali,2017,1.567
MLI,Mali,2020,1.904
MLT,Malta,2017,1.053
MLT,Malta,2020,1.175
MMR,Myanmar,2017,1.438
MMR,Myanmar,2020,1.438
MNE,Montenegro,2017,1.608
MNE,Montenegro,2020,1.363
MNG,Mongolia,2017,1.523
MNG,Mongolia,2020,1.535
MOZ,Mozambique,2017,5.547
MOZ,Mozambique,2020,5.547
MRT,Mauritania,2017,3.115
